Company,Title,Track,Location,Region,Tier,Salary,Flags,Posted_Age,WorkModel,Source,URL,Link_Check
NVIDIA,Verification and Validation Engineer - New College Grad 2026,Silicon Validation,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Verification-and-Validation-Engineer---New-College-Grad-2026_JR2018584-1,search-verified 2026-06-10 (Workday title+JR2018584 match)
SanDisk,"New College Grad, Product Development Engineering (Summer 2026 start)",Silicon Validation,"Milpitas, CA",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://jobs.smartrecruiters.com/Sandisk/744000080258822-new-college-grad-product-development-engineering-summer-2026-start-,search-verified 2026-06-10 (SmartRecruiters + Indeed list)
Teradyne,"Hardware Engineer, New College Graduate",Silicon Validation,"North Reading, MA",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,"https://jobs.teradyne.com/Teradyne/job/North-Reading-Hardware-Engineer,-New-College-Graduate,-(Teradyne,-North-Reading)-MA/1379173500/",search-verified 2026-06-10 (Teradyne req 1379173500 match)
Texas Instruments,"Product, Test & Validation Engineer Rotation Program",Silicon Validation,"Dallas, TX",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://careers.ti.com/job/17546880/product-test-validation-engineer-rotation-program-dallas-tx/,search-verified 2026-06-10 (careers.ti.com ID 17546880)
Texas Instruments,"Product, Test and Validation Engineer Rotation Program",Silicon Validation,"Longmont, CO",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://careers.ti.com/job/12020772/product-test-and-validation-engineer-rotation-program-longmont-co-longmont-co/,search-verified 2026-06-10 (careers.ti.com ID 12020772)
GUC 創意電子,G250003-DFT Engineer (IP) — 校園徵才,DFT / Silicon Test,新竹,TW,Semiconductor (TW/global),,,entry:校園徵才,,agent:TW-sweep,https://program.104.com.tw/NCKU/job/14480805,search-verified 2026-06-10 (program.104 NCKU G250003 indexed)
Realtek 瑞昱,115年度研發替代役&預聘_應屆畢業人才-可測試設計(DFT)工程師,DFT / Silicon Test,新竹市東區,TW,Semiconductor (TW/global),,,entry:應屆碩博/研替&預聘,,agent:TW-sweep,https://www.1111.com.tw/job/130312584,search-verified 2026-06-10 (1111 listing indexed full title)
"Broadata Communications, Inc.",Associate Test Engineer,DFT / Silicon Test,"Torrance, CA",US,Other,,,Jun 04,On Site,jobright:SW,https://jobright.ai/jobs/info/6a21c6e4c00e701fe8370bc5,listed<=7d jobright 2026-06-10
Extreme Networks,Associate Test Engineer - Must Be in Salem Office 3 Days Per Week,DFT / Silicon Test,"Salem, NH",US,Other,,,Jun 05,Hybrid,jobright:ENG,https://jobright.ai/jobs/info/6a22d0c714de9460dc84332f,listed<=7d jobright 2026-06-10
Extreme Networks,Associate Test Engineer,DFT / Silicon Test,"Texas, United States",US,Other,,,Jun 05,Hybrid,jobright:ENG,https://jobright.ai/jobs/info/6a22dab2757ade085b6ad147,listed<=7d jobright 2026-06-10
Lockheed Martin,"Production Test Engineer Associate / Orlando, FL",DFT / Silicon Test,Florida,US,Other,,us-person-likely,Jun 08,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a2799daadd4b5278cb5f8e1,listed<=7d jobright 2026-06-10
Moog Inc.,Associate Development Test Engineer,DFT / Silicon Test,"Buffalo, NY",US,Other,,,Jun 05,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a0644dc6c07461fe171e7f5,listed<=7d jobright 2026-06-10
"Saab, Inc.",Associate Radar Integration & Test Engineer,DFT / Silicon Test,"East Syracuse, NY (Collamer), US",US,Other,,,Jun 09,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a28565c7061b51a3a5f4fe8,listed<=7d jobright 2026-06-10
SpaceNews,"Associate, Test Engineering Engineer (Test Engineer, Associate)",DFT / Silicon Test,"Littleton, CO",US,Other,,,Jun 03,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a2104b5902d19201c7b5ca3,listed<=7d jobright 2026-06-10
Swift,Associate Test Engineer,DFT / Silicon Test,"Manassas, United States, US",US,Other,,,Jun 09,On Site,jobright:SW,https://jobright.ai/jobs/info/69fcf45fb113035a9f8ed1a5,listed<=7d jobright 2026-06-10
Swift,Associate Test Engineer,DFT / Silicon Test,"Manassas, VA",US,Other,,,Jun 04,On Site,jobright:SW,https://jobright.ai/jobs/info/6a060209bc4184089f249f55,listed<=7d jobright 2026-06-10
Trane Technologies,Associate Software Product Test Engineer,DFT / Silicon Test,"La Crosse, Wisconsin, United States of America",US,Other,,,Jun 10,Hybrid,jobright:SW,https://jobright.ai/jobs/info/69efedcc0a6e095553058465,listed<=7d jobright 2026-06-10
Applied Engineering,Electrical Engineer - Product Design & Validation,Silicon Validation,"Milwaukee, WI",US,Other,,,Jun 04,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a21f73f902d19201c7bb51a,listed<=7d jobright 2026-06-10
"Applied Engineering, Inc.",Electrical Engineer - Product Design & Validation,Silicon Validation,Milwaukee,US,Other,,,Jun 04,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a21dcc07c30cc2cc516be15,listed<=7d jobright 2026-06-10
General Motors,"Software Engineer, Autonomy Behavior Validation",Silicon Validation,"Sunnyvale, California, United States of America",US,Other,,,Jun 05,Hybrid,jobright:SW,https://jobright.ai/jobs/info/6a068f3df3d6cc51d639457a,listed<=7d jobright 2026-06-10
General Motors,"Software Engineer, Autonomy Behavior Validation",Silicon Validation,"Sunnyvale, CA",US,Other,,,Jun 05,Hybrid,jobright:SW,https://jobright.ai/jobs/info/6a064e31a88ea73abf7fa73c,listed<=7d jobright 2026-06-10
GILLIG,Associate Product Validation Engineer,Silicon Validation,"Livermore, CA",US,Other,,,Jun 04,On Site,jobright:ENG,https://jobright.ai/jobs/info/69e9566d0a6e09555303b35c,listed<=7d jobright 2026-06-10
GILLIG,Associate Product Validation Engineer,Silicon Validation,California,US,Other,,,Jun 04,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a1ee604dce5db1256d10889,listed<=7d jobright 2026-06-10
Labcorp,Associate Systems Specialist - Immunology - Computer Systems Validation Project Coordinator,Silicon Validation,"Madison, Wisconsin, United States of America",US,Other,,,Jun 10,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a288ea81dbd8437bebcbef9,listed<=7d jobright 2026-06-10
NantHealth,Validation Engineer I,Silicon Validation,"El Segundo CA Mariposa, US",US,Other,,,Jun 08,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a27599630042e75390887fa,listed<=7d jobright 2026-06-10
R.C. Systems LLC,"Spec, Test and Validation",Silicon Validation,"Derry, NH, US",US,Other,,,Jun 09,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a280b98883c0d3be653f30f,listed<=7d jobright 2026-06-10
Spectrum Safety Solutions,"Spec, Test and Validation",Silicon Validation,"Derry, NH, US",US,Other,,,Jun 09,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a280f152d6c332ee52e347a,listed<=7d jobright 2026-06-10
